epoch,train_loss,valid_loss,valid_mean_auc
1,0.34928164266201916,0.2426782876253128,0.5762584075797923
2,0.24272560788204475,0.21799266934394837,0.7359395611984006
3,0.21861790827646546,0.2039959919452667,0.7797783805023931
4,0.20140167557615407,0.19822364658117295,0.7913788430133485
5,0.1886453030592933,0.19467093139886857,0.800304497312473
