epoch,lr,train_loss,valid_loss,valid_mean_auc
1,0.0001,0.3062539962785585,0.23822739720344543,0.6594563719127539
2,0.0001,0.24263750335999898,0.22675735354423524,0.7153159787498841
3,0.0001,0.23653149410930216,0.2218528950214386,0.7206178042525274
4,0.0001,0.2318938714357055,0.21779105722904205,0.7270555095862957
5,0.0001,0.22769783631119192,0.21543749451637267,0.7409469330623367
6,0.0001,0.22435085216955264,0.21488249480724333,0.7449285438221364
7,0.0001,0.22230084384886586,0.21100255846977234,0.7608897789242471
8,0.0001,0.2190152232972335,0.20926866948604583,0.7673648012745445
9,0.0001,0.21736330413544663,0.21030346184968948,0.769538309000081
10,0.0001,0.21505091016237832,0.20502460926771163,0.7790877309546865
11,0.0001,0.21338507388623393,0.20499900937080384,0.780769226687993
12,0.0001,0.21126580857956895,0.20224121779203416,0.787673953806974
13,0.0001,0.2092292739876679,0.2037575513124466,0.7848618077726187
14,0.0001,0.20850921524878668,0.20433453172445298,0.787138050468577
15,0.0001,0.20647618315201632,0.2012802654504776,0.7916062985385076
16,0.0001,0.20581095057482623,0.20334894716739654,0.7896278421534517
17,0.0001,0.20521978285087614,0.20108213245868684,0.7952777421898231
18,0.0001,0.2051864583425376,0.20199074774980544,0.7954331555067929
19,0.0001,0.2034407428712869,0.20201421827077864,0.7907632946006222
20,0.0001,0.20217820306365586,0.2023824179172516,0.7885606497064218
